timestamp,server_id,role,region,cpu_usage_pct,memory_usage_pct,disk_io_mbs,network_latency_ms,packet_loss_pct,error_rate_5xx,active_connections,temperature_celsius,incident_type,is_anomaly,failure_within_1h
2026-08-01 00:00:00,srv-web-01,Web Server,sa-east-1,15.39,41.57,12.34,30.78,0.007,0.003,121,49.2,None,0,0
2026-08-01 00:08:00,srv-web-01,Web Server,sa-east-1,12.01,42.8,6.79,26.8,0.015,0.015,38,46.7,None,0,0
2026-08-01 00:16:00,srv-web-01,Web Server,sa-east-1,10.12,42.39,4.57,24.91,0.024,0.031,83,45.1,None,0,0
2026-08-01 00:24:00,srv-web-01,Web Server,sa-east-1,11.78,42.02,3.37,28.49,0.003,0.059,67,46.9,None,0,0
2026-08-01 00:32:00,srv-web-01,Web Server,sa-east-1,11.6,45.16,9.07,25.63,0.001,0.048,102,45.8,None,0,0
2026-08-01 00:40:00,srv-web-01,Web Server,sa-east-1,14.47,38.3,2.52,28.14,0.14,0.03,100,48.3,None,0,0
2026-08-01 00:48:00,srv-web-01,Web Server,sa-east-1,13.37,41.3,2.0,26.32,0.071,0.009,91,45.6,None,0,0
2026-08-01 00:56:00,srv-web-01,Web Server,sa-east-1,14.96,41.15,5.83,28.99,0.0,0.034,108,49.3,None,0,0
2026-08-01 01:04:00,srv-web-01,Web Server,sa-east-1,10.94,41.29,10.91,29.73,0.016,0.001,55,45.6,None,0,0
2026-08-01 01:12:00,srv-web-01,Web Server,sa-east-1,16.78,44.3,8.93,29.79,0.005,0.025,92,50.5,None,0,0
2026-08-01 01:20:00,srv-web-01,Web Server,sa-east-1,13.88,44.68,2.0,29.44,0.001,0.002,86,47.5,None,0,0
2026-08-01 01:28:00,srv-web-01,Web Server,sa-east-1,14.4,38.3,8.29,28.53,0.021,0.028,64,47.4,None,0,0
2026-08-01 01:36:00,srv-web-01,Web Server,sa-east-1,17.36,42.48,6.79,28.86,0.089,0.016,67,48.5,None,0,0
2026-08-01 01:44:00,srv-web-01,Web Server,sa-east-1,12.87,39.26,10.98,28.37,0.0,0.014,50,47.1,None,0,0
2026-08-01 01:52:00,srv-web-01,Web Server,sa-east-1,13.14,40.47,8.75,28.68,0.029,0.024,92,47.6,None,0,0
2026-08-01 02:00:00,srv-web-01,Web Server,sa-east-1,7.72,41.88,9.92,32.81,0.002,0.007,81,46.5,None,0,0
2026-08-01 02:08:00,srv-web-01,Web Server,sa-east-1,14.42,39.83,15.41,29.41,0.011,0.026,122,46.4,None,0,0
2026-08-01 02:16:00,srv-web-01,Web Server,sa-east-1,16.7,45.9,4.81,26.8,0.002,0.018,49,48.8,None,0,0
2026-08-01 02:24:00,srv-web-01,Web Server,sa-east-1,11.05,42.82,5.25,31.05,0.11,0.003,69,46.7,None,0,0
2026-08-01 02:32:00,srv-web-01,Web Server,sa-east-1,17.74,39.77,11.06,30.59,0.03,0.006,95,49.9,None,0,0
2026-08-01 02:40:00,srv-web-01,Web Server,sa-east-1,10.69,39.63,12.62,28.6,0.087,0.03,73,47.3,None,0,0
2026-08-01 02:48:00,srv-web-01,Web Server,sa-east-1,16.18,40.73,19.43,28.98,0.042,0.005,66,49.5,None,0,0
2026-08-01 02:56:00,srv-web-01,Web Server,sa-east-1,19.35,40.56,15.01,28.88,0.043,0.017,85,48.5,None,0,0
2026-08-01 03:04:00,srv-web-01,Web Server,sa-east-1,12.32,40.59,9.91,28.77,0.089,0.02,92,49.2,None,0,0
2026-08-01 03:12:00,srv-web-01,Web Server,sa-east-1,14.66,46.97,13.52,26.4,0.013,0.0,66,48.7,None,0,0
2026-08-01 03:20:00,srv-web-01,Web Server,sa-east-1,14.96,43.38,12.86,28.0,0.133,0.038,73,46.4,None,0,0
2026-08-01 03:28:00,srv-web-01,Web Server,sa-east-1,14.34,43.66,11.67,25.69,0.11,0.024,73,48.2,None,0,0
2026-08-01 03:36:00,srv-web-01,Web Server,sa-east-1,16.27,40.08,12.5,29.33,0.048,0.024,61,47.4,None,0,0
2026-08-01 03:44:00,srv-web-01,Web Server,sa-east-1,18.03,43.09,13.39,35.95,0.064,0.021,121,49.8,None,0,0
2026-08-01 03:52:00,srv-web-01,Web Server,sa-east-1,15.3,43.55,7.07,27.81,0.035,0.001,156,46.0,None,0,0
2026-08-01 04:00:00,srv-web-01,Web Server,sa-east-1,18.98,39.31,8.69,30.49,0.005,0.015,81,50.1,None,0,0
2026-08-01 04:08:00,srv-web-01,Web Server,sa-east-1,14.2,42.62,11.4,27.05,0.031,0.02,49,48.2,None,0,0
2026-08-01 04:16:00,srv-web-01,Web Server,sa-east-1,14.62,43.79,7.33,28.16,0.001,0.066,114,49.1,None,0,0
2026-08-01 04:24:00,srv-web-01,Web Server,sa-east-1,12.92,41.68,9.04,27.12,0.032,0.025,71,48.7,None,0,0
2026-08-01 04:32:00,srv-web-01,Web Server,sa-east-1,24.74,44.17,3.94,27.49,0.018,0.028,114,51.9,None,0,0
2026-08-01 04:40:00,srv-web-01,Web Server,sa-east-1,14.25,42.23,2.0,26.45,0.008,0.011,145,46.3,None,0,0
2026-08-01 04:48:00,srv-web-01,Web Server,sa-east-1,16.15,42.59,19.0,25.67,0.028,0.039,81,49.1,None,0,0
2026-08-01 04:56:00,srv-web-01,Web Server,sa-east-1,18.58,41.3,12.27,27.81,0.113,0.017,146,47.7,None,0,0
2026-08-01 05:04:00,srv-web-01,Web Server,sa-east-1,25.55,38.9,11.3,29.79,0.13,0.047,115,50.4,None,0,0
2026-08-01 05:12:00,srv-web-01,Web Server,sa-east-1,17.56,41.55,9.24,30.36,0.005,0.024,132,49.3,None,0,0
2026-08-01 05:20:00,srv-web-01,Web Server,sa-east-1,21.33,43.6,8.18,27.58,0.056,0.033,110,50.1,None,0,0
2026-08-01 05:28:00,srv-web-01,Web Server,sa-east-1,23.16,41.43,15.19,28.33,0.078,0.011,132,51.5,None,0,0
2026-08-01 05:36:00,srv-web-01,Web Server,sa-east-1,23.46,42.56,16.0,28.16,0.02,0.0,121,50.4,None,0,0
2026-08-01 05:44:00,srv-web-01,Web Server,sa-east-1,19.43,43.62,8.64,33.0,0.014,0.008,143,50.4,None,0,0
2026-08-01 05:52:00,srv-web-01,Web Server,sa-east-1,21.48,43.7,12.8,27.06,0.002,0.016,140,49.8,None,0,0
2026-08-01 06:00:00,srv-web-01,Web Server,sa-east-1,16.61,42.02,15.06,27.77,0.039,0.002,123,48.0,None,0,0
2026-08-01 06:08:00,srv-web-01,Web Server,sa-east-1,18.06,43.04,5.9,26.13,0.067,0.059,100,48.8,None,0,0
2026-08-01 06:16:00,srv-web-01,Web Server,sa-east-1,21.0,45.31,17.56,28.66,0.005,0.014,118,49.5,None,0,0
2026-08-01 06:24:00,srv-web-01,Web Server,sa-east-1,21.24,41.19,16.0,32.09,0.131,0.009,137,49.5,None,0,0
2026-08-01 06:32:00,srv-web-01,Web Server,sa-east-1,21.1,42.73,14.03,27.52,0.139,0.015,158,51.1,None,0,0
2026-08-01 06:40:00,srv-web-01,Web Server,sa-east-1,28.05,41.35,18.04,29.47,0.002,0.007,177,50.9,None,0,0
2026-08-01 06:48:00,srv-web-01,Web Server,sa-east-1,17.78,41.68,3.19,28.09,0.035,0.002,132,51.2,None,0,0
2026-08-01 06:56:00,srv-web-01,Web Server,sa-east-1,24.24,41.75,9.45,30.17,0.097,0.035,92,53.0,None,0,0
2026-08-01 07:04:00,srv-web-01,Web Server,sa-east-1,25.24,41.97,5.51,31.93,0.14,0.037,123,52.6,None,0,0
2026-08-01 07:12:00,srv-web-01,Web Server,sa-east-1,15.73,41.76,14.23,29.36,0.059,0.058,116,49.2,None,0,0
2026-08-01 07:20:00,srv-web-01,Web Server,sa-east-1,17.76,42.61,14.94,30.33,0.01,0.022,90,50.5,None,0,0
2026-08-01 07:28:00,srv-web-01,Web Server,sa-east-1,22.85,41.54,22.22,29.57,0.029,0.038,181,52.5,None,0,0
2026-08-01 07:36:00,srv-web-01,Web Server,sa-east-1,21.01,44.67,17.81,32.11,0.049,0.005,157,47.8,None,0,0
2026-08-01 07:44:00,srv-web-01,Web Server,sa-east-1,17.92,39.27,13.36,30.85,0.029,0.031,173,47.4,None,0,0
2026-08-01 07:52:00,srv-web-01,Web Server,sa-east-1,16.28,42.87,16.75,29.38,0.027,0.008,100,49.4,None,0,0
2026-08-01 08:00:00,srv-web-01,Web Server,sa-east-1,23.71,41.3,12.38,27.37,0.091,0.013,109,51.2,None,0,0
2026-08-01 08:08:00,srv-web-01,Web Server,sa-east-1,20.74,41.59,14.53,27.45,0.009,0.009,184,49.9,None,0,0
2026-08-01 08:16:00,srv-web-01,Web Server,sa-east-1,20.32,43.42,14.62,29.11,0.066,0.028,123,49.0,None,0,0
2026-08-01 08:24:00,srv-web-01,Web Server,sa-east-1,21.98,38.92,7.72,32.32,0.025,0.028,152,50.5,None,0,0
2026-08-01 08:32:00,srv-web-01,Web Server,sa-east-1,33.88,45.1,14.76,27.71,0.03,0.006,119,51.8,None,0,0
2026-08-01 08:40:00,srv-web-01,Web Server,sa-east-1,21.0,41.15,23.94,31.42,0.062,0.014,141,48.8,None,0,0
2026-08-01 08:48:00,srv-web-01,Web Server,sa-east-1,28.75,44.09,10.42,29.3,0.013,0.009,163,54.3,None,0,0
2026-08-01 08:56:00,srv-web-01,Web Server,sa-east-1,18.67,44.16,12.46,28.74,0.008,0.007,142,48.2,None,0,0
2026-08-01 09:04:00,srv-web-01,Web Server,sa-east-1,24.65,43.07,14.61,27.93,0.14,0.04,127,51.8,None,0,0
2026-08-01 09:12:00,srv-web-01,Web Server,sa-east-1,25.6,41.42,16.39,31.27,0.034,0.007,126,51.9,None,0,0
